Pool Name,Pool Address,Backer Address,USDC Amount,Capped Airdrop GFI,Uncapped Airdrop GFI,Risk Bonus GFI,Modeled Liq. Mining GFI,TOTAL GFI DISTRIBUTION,Immeditely available,Unlocks over 12 months,Return at price
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x1BdCa6a46d69efE0B4c7b1Ac962f240e0e1F040c,"$1,000.0",874.64,80.74,955.38,64.94,"1,975.6901200","1,975.6901199829300000000",0.000000000000000000000000,1975.69%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x8140b5D041490a706da799dd295DbB251b3Fbc7a,"$1,000.0",874.64,80.74,955.38,64.94,"1,975.6901200","1,975.6901199829300000000",0.000000000000000000000000,1975.69%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xE3B62D868904c93F32718f54AB64bF4F3D1F4635,$702.0,818.66,56.68,875.34,45.59,"1,796.2639093","1,796.2639092688300000000",0.000000000000000000000000,2558.78%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x24710BdFbEA631d9d11eed0AeEBFD49FD8e5ff70,$500.0,583.09,40.37,623.46,32.47,"1,279.3902488","1,279.3902487669800000000",0.000000000000000000000000,2558.78%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xccF9a2f4b558D0a23D2f678adf2dE1DC52fA343E,$399.0,465.31,32.22,497.52,25.91,"1,020.9534185","1,020.9534185160500000000",0.000000000000000000000000,2558.78%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x2e2DbFeb78aeD1B732b433C91fEF53e90838865f,$99.0,115.45,7.99,123.45,6.43,253.3192693,253.3192692558610000000,0.000000000000000000000000,2558.78%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0x2b2B7fEC2Ba5854AeF243C21a583d8e61Ee82c32,"$750,000.0",874.64,"60,555.00","61,429.64","51,201.30","174,060.5736192",874.6355663265310000000,"173,185.938052899000000000000000",232.08%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0xE11bb2df7F004F190F75E6EC77528Cf30b6afBfb,"$250,000.0",874.64,"20,185.00","21,059.64","17,067.10","59,186.3719615",874.6355663265310000000,"58,311.736395184000000000000000",236.75%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0x0Ae9b28ccBe5CFE2BD4E6731392441023c9d6cB9,"$223,450.5",874.64,"18,041.40","18,916.03","15,254.61","53,086.6745391",874.6355663265310000000,"52,212.038972806700000000000000",237.58%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0x7Cf20A1BB4CAE92Df714eAf760814860eD5f785F,"$149,937.3",874.64,"12,105.94","12,980.57","10,235.98","36,197.1222696",874.6355663265310000000,"35,322.486703281900000000000000",241.42%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0x526C7665C5dd9cD7102C6d42D407a0d9DC1e431d,"$132,900.8",874.64,"10,730.41","11,605.04","9,072.92","32,283.0101503",874.6355663265310000000,"31,408.374583972500000000000000",242.91%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0x7Cf20A1BB4CAE92Df714eAf760814860eD5f785F,"$109,937.7",874.64,"8,876.37","9,751.00","7,505.27","27,007.2784958",874.6355663265310000000,"26,132.642929522800000000000000",245.66%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0x6a5dBF2Fb5206EC8192620810C3edB6d5e62B188,"$71,468.3",874.64,"5,770.35","6,644.99","4,879.03","18,169.0040917",874.6355663265310000000,"17,294.368525358900000000000000",254.22%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0x526C7665C5dd9cD7102C6d42D407a0d9DC1e431d,"$67,932.2",874.64,"5,484.85","6,359.48","4,637.63","17,356.5940022",874.6355663265310000000,"16,481.958435847700000000000000",255.50%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0x4902b20bB3B8e7776CBcDCB6e3397E7F6b4e449E,"$58,999.5",874.64,"4,763.62","5,638.26","4,027.80","15,304.3129960",874.6355663265310000000,"14,429.677429703700000000000000",259.40%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0xeB1346bb4a15e5b6923E7C002fb4D09eA98a04A0,"$46,569.3",874.64,"3,760.01","4,634.64","3,179.21","12,448.4939566",874.6355663265310000000,"11,573.858390290300000000000000",267.31%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0xA05967ed87D17aC0978101B73Cf784573A801bE7,"$45,630.0",874.64,"3,684.17","4,558.80","3,115.09","12,232.6907759",874.6355663265310000000,"11,358.055209609600000000000000",268.08%
